PM2.5,PM10,NO2,SO2,CO,O3,AQI
115.49,163.52,77.86,50.97,3.68,18.39,153.59
285.46,194.64,69.92,75.18,1.0,13.81,188.25
220.94,343.27,39.35,57.14,1.8,92.61,209.52
181.6,142.6,123.42,10.16,3.35,145.09,192.71
51.03,349.16,97.94,20.19,2.46,77.89,155.57
51.02,44.37,173.81,23.49,3.72,12.47,115.36
22.13,312.95,11.26,27.27,4.81,37.08,153.57
260.52,340.54,130.55,57.41,0.67,40.49,213.78
182.33,80.91,153.78,51.39,3.58,53.99,179.07
213.88,177.84,153.1,21.91,1.23,11.32,166.4
11.07,74.54,177.78,8.62,2.13,136.21,99.26
291.12,285.58,147.16,18.8,0.26,79.76,213.4
250.57,218.79,185.92,98.47,0.77,102.28,208.55
67.64,257.78,69.87,47.92,1.67,14.74,121.1
58.64,86.63,103.13,87.0,1.78,12.85,93.51
59.1,92.58,7.75,85.18,4.51,90.04,132.96
94.75,26.18,6.36,52.13,3.73,133.66,125.38
159.8,135.61,51.82,71.26,4.86,81.63,191.14
132.42,228.3,24.66,20.89,3.04,132.28,169.79
90.91,344.59,55.74,69.46,1.28,122.59,158.25
185.5,270.1,39.52,28.69,1.71,16.0,165.0
46.15,179.8,10.56,83.54,1.67,34.28,94.51
91.18,381.72,182.31,10.2,1.7,100.37,181.74
113.08,290.51,6.6,77.77,3.4,69.31,173.46
139.54,372.76,148.54,11.79,2.7,47.15,201.42
236.63,215.76,34.67,88.36,1.99,65.7,191.52
63.9,110.97,182.88,31.81,0.83,69.55,101.26
156.7,30.6,179.1,66.13,0.21,137.03,125.96
179.76,293.17,132.51,49.78,1.17,20.0,175.98
18.7,57.31,136.09,37.9,0.63,45.56,59.38
184.23,128.08,6.04,65.25,3.95,82.95,178.41
55.3,217.66,197.05,94.86,0.65,106.25,130.4
24.19,230.12,176.18,6.04,3.65,96.44,151.93
284.92,244.23,179.55,92.05,1.99,141.54,250.03
289.86,74.84,133.55,61.69,0.46,120.36,182.06
243.48,158.1,72.23,81.12,4.08,85.78,222.06
94.86,250.71,179.26,39.62,2.94,36.13,168.46
33.81,388.23,61.85,48.24,1.26,70.38,134.66
206.85,293.78,114.73,87.15,4.48,105.54,250.51
134.84,369.82,24.45,42.66,0.32,126.5,159.64
41.0,307.26,184.78,54.4,1.09,144.16,148.97
151.08,240.77,32.45,3.98,3.79,92.79,184.54
15.14,84.89,48.85,17.54,3.58,81.4,97.97
273.25,270.01,113.84,64.89,1.52,7.57,210.76
81.34,253.12,154.0,72.26,0.4,15.45,121.86
200.44,244.96,125.77,59.09,4.3,27.64,222.66
96.95,201.02,50.27,16.04,1.64,12.94,114.63
158.42,216.18,5.18,45.65,1.06,63.13,137.3
166.28,140.43,152.64,36.8,2.63,53.85,168.68
59.53,212.53,197.12,50.57,4.56,97.42,183.96
291.03,87.05,162.93,87.29,0.31,82.67,184.09
233.66,324.02,94.74,78.03,3.85,91.42,251.78
282.15,82.45,181.23,10.23,2.91,73.44,212.15
268.97,43.14,84.92,89.25,2.18,45.27,177.44
181.38,180.14,107.36,48.23,3.75,143.16,207.17
276.95,266.74,98.04,74.9,4.83,17.53,261.44
31.11,180.71,92.29,15.72,1.22,141.14,103.52
62.81,117.93,156.16,67.73,0.8,50.13,98.49
18.34,227.69,107.72,25.16,4.57,79.34,152.05
100.97,145.33,66.76,44.96,3.38,20.78,137.75
119.66,373.82,55.34,3.65,2.25,15.29,167.28
85.05,369.83,12.36,16.86,2.91,67.28,165.25
249.48,205.93,118.72,11.02,3.75,112.55,233.07
110.24,137.87,49.84,25.49,3.89,44.06,146.62
87.88,297.48,33.89,11.8,4.61,86.54,183.0
165.1,24.32,132.5,69.81,2.19,45.4,137.44
46.57,195.16,137.84,4.85,1.54,61.35,111.09
241.65,141.17,151.67,62.54,3.23,136.43,222.88
26.99,369.01,103.2,15.79,2.14,129.1,153.08
296.13,14.68,179.34,94.63,3.01,79.82,214.93
232.81,225.6,187.59,93.44,2.16,39.53,214.02
63.62,298.86,162.44,24.1,0.85,33.01,129.69
6.63,199.16,128.94,62.21,2.4,143.34,125.55
245.56,43.31,64.23,4.74,3.49,34.39,174.44
213.52,389.26,196.67,93.32,4.02,122.18,280.67
220.06,212.02,58.46,53.25,2.52,58.5,191.06
232.52,249.53,44.52,6.24,0.91,147.92,186.05
26.84,102.28,91.22,35.56,2.13,58.38,89.17
110.75,198.56,16.08,9.53,3.95,55.97,155.07
39.18,177.37,195.81,40.51,2.12,97.43,131.03
259.62,39.21,119.74,67.65,3.51,144.42,210.77
188.87,51.4,113.61,48.05,2.59,146.55,168.44
102.61,336.61,132.88,39.6,1.28,107.54,167.62
23.75,103.53,101.92,13.68,4.0,114.42,124.04
96.74,86.03,11.25,26.0,0.51,86.69,80.88
100.93,206.92,124.4,11.81,2.67,114.59,158.86
220.23,309.81,144.65,81.13,1.12,129.67,216.17
193.08,34.16,86.27,15.25,0.43,75.48,116.28
266.73,234.96,152.67,60.35,2.56,94.88,235.32
144.3,56.49,49.27,35.59,2.55,82.91,130.62
40.28,24.22,48.15,24.15,3.56,86.56,97.03
215.41,30.57,36.48,64.67,3.75,134.06,180.56
229.43,335.32,77.54,46.79,3.67,56.56,238.62
170.58,56.01,170.17,41.21,2.11,35.19,145.96
232.44,27.61,166.44,60.1,3.2,71.16,188.08
150.67,180.78,79.65,50.14,2.93,35.17,162.57
159.21,339.16,119.88,31.74,2.17,77.27,196.74
131.12,112.34,145.56,56.79,3.03,136.01,168.23
12.5,174.47,52.04,67.61,4.74,94.53,139.76
36.83,25.57,37.79,4.62,1.05,129.04,61.01
14.27,185.14,194.56,47.66,4.54,29.1,149.13
192.74,235.27,125.42,7.65,0.36,135.63,169.5
97.74,232.65,196.38,20.27,1.61,92.26,155.11
155.03,139.65,70.86,56.93,1.51,9.61,130.38
272.73,133.06,142.09,86.89,3.17,96.8,227.76
78.54,51.58,48.41,88.51,0.74,142.95,90.43
126.06,153.05,55.93,8.85,4.42,16.48,159.14
227.89,48.8,104.82,43.07,4.16,89.46,196.76
72.5,308.97,67.33,59.13,3.3,137.74,176.89
27.71,386.85,37.69,16.41,2.35,6.41,131.9
90.48,388.33,56.26,77.01,4.67,96.48,214.54
52.56,347.38,11.97,74.94,4.17,73.86,173.43
279.26,244.31,142.36,90.53,2.55,55.31,237.47
243.4,283.34,100.96,2.83,3.54,95.99,236.94
191.85,121.23,23.38,23.24,2.88,12.64,151.88
262.08,256.0,38.48,83.06,2.98,114.19,231.95
242.08,187.7,24.99,67.72,1.72,5.65,171.57
60.04,197.99,124.46,89.65,2.36,49.51,134.14
268.3,305.53,23.37,7.6,0.48,78.07,191.65
164.11,119.95,152.09,60.5,1.85,59.67,155.21
243.19,134.04,9.0,57.77,3.51,49.58,191.29
269.35,370.61,53.63,5.5,4.77,125.47,280.84
98.81,31.93,178.68,52.33,4.82,140.55,171.31
37.47,199.4,145.11,61.73,2.82,131.69,144.9
72.24,365.99,19.23,20.75,3.07,80.75,165.25
131.0,248.04,165.12,28.79,1.01,133.2,164.78
246.31,223.1,101.14,64.75,3.51,138.52,238.18
258.92,107.4,170.12,47.89,0.45,64.34,171.7
7.05,143.88,122.14,86.09,1.49,46.1,87.87
155.67,342.3,137.96,35.55,3.37,19.25,208.49
128.14,228.1,198.73,28.13,1.62,74.47,164.97
70.52,210.75,50.31,98.52,0.34,142.21,114.25
40.36,48.84,126.67,91.29,4.18,86.33,129.63
104.6,16.25,94.76,4.84,1.62,101.8,99.37
283.16,385.84,12.69,77.53,0.41,21.37,209.43
100.34,157.02,7.82,12.81,0.47,25.81,84.87
158.04,245.25,28.25,4.69,1.33,72.35,147.83
212.39,41.09,131.57,28.82,0.97,142.93,151.82
112.27,276.41,115.6,28.4,3.89,57.31,187.38
291.68,373.7,112.92,82.29,1.68,132.24,261.56
288.92,234.51,11.21,71.65,4.04,22.44,235.33
79.28,59.18,96.51,98.2,0.95,94.47,96.29
151.69,236.87,185.3,71.73,2.52,92.09,194.56
93.76,308.88,82.53,42.99,3.47,129.68,187.48
89.03,168.5,126.86,70.49,3.29,5.48,145.63
15.88,353.14,157.06,99.95,3.05,32.54,161.1
184.82,262.99,157.87,71.59,4.63,36.85,232.37
153.29,360.71,106.26,76.64,1.22,142.75,196.77
20.19,253.17,172.3,93.96,2.52,27.29,135.83
87.2,61.2,81.32,13.14,4.43,10.36,128.66
272.94,130.78,178.3,71.07,0.48,82.5,188.78
75.67,88.7,51.84,85.38,0.37,81.64,82.18
47.74,364.44,59.64,95.53,1.24,127.39,148.24
149.39,306.56,15.36,22.67,3.2,142.58,195.05
295.77,273.8,160.14,51.39,1.37,83.09,235.29
76.41,127.38,86.33,68.69,1.03,139.85,112.32
203.28,81.78,49.68,26.25,2.35,110.15,159.49
229.68,305.02,50.2,60.85,3.11,43.36,219.59
75.1,194.92,180.77,27.24,1.32,139.62,139.58
219.82,98.06,167.61,34.68,1.57,101.78,175.02
113.5,250.48,112.94,45.27,3.11,65.04,173.32
191.53,25.73,125.14,53.86,4.73,103.64,192.47
191.89,137.21,97.49,46.04,3.41,63.19,184.0
163.05,192.74,81.37,50.33,3.94,21.56,183.29
31.64,67.7,183.52,31.26,1.9,109.25,101.7
251.41,394.02,29.49,17.58,1.43,124.49,225.74
99.63,91.55,86.6,6.64,2.33,110.68,123.31
60.02,60.84,72.19,21.21,4.05,38.22,115.68
17.03,89.38,102.14,59.03,2.34,143.71,102.51
179.31,309.93,94.24,79.04,4.25,8.66,220.79
204.88,175.95,106.18,18.59,4.94,53.24,217.09
9.89,230.51,32.28,12.64,0.45,42.71,69.37
156.07,18.19,105.06,75.43,0.32,11.98,96.0
71.82,23.43,52.27,31.91,0.83,63.83,66.51
195.33,183.87,40.94,95.25,1.98,95.35,174.63
56.44,328.5,17.64,72.0,0.74,132.97,129.2
208.83,355.24,153.72,34.02,4.37,148.51,268.81
119.09,43.82,88.35,30.38,0.21,122.17,94.22
281.34,219.96,127.2,53.32,1.65,72.96,216.59
45.57,366.16,146.88,9.76,1.01,109.94,146.03
105.61,161.31,137.47,13.53,4.66,127.33,185.55
38.47,333.53,96.75,19.23,3.38,72.47,160.11
277.78,62.14,80.64,77.92,4.57,118.83,229.79
263.82,374.8,78.31,52.36,4.86,74.98,281.68
81.09,303.06,129.81,3.04,2.54,61.04,160.02
199.7,377.12,101.48,68.0,1.25,81.28,208.24
246.08,273.88,170.58,43.52,1.05,103.0,214.34
168.78,151.73,175.57,52.06,1.19,110.4,163.84
161.25,375.89,38.26,22.98,3.57,56.73,209.8
76.35,117.47,31.57,56.07,0.3,87.84,82.02
32.47,139.55,127.93,97.96,0.35,136.93,95.7
269.68,283.32,63.74,9.2,3.08,146.57,243.2
270.62,308.47,8.62,29.82,3.25,37.95,228.6
191.76,372.47,178.29,25.81,3.36,32.96,235.86
105.01,89.87,49.25,26.36,1.92,103.12,114.3
108.02,321.22,186.21,39.11,4.05,65.13,209.8
219.16,298.03,144.9,82.17,2.71,8.51,219.22
269.65,34.88,153.72,91.46,0.62,55.29,164.58
266.69,161.02,44.28,21.82,4.01,121.98,226.09
235.06,120.28,50.67,55.21,4.77,120.63,220.85
194.4,128.75,106.65,64.42,0.39,76.73,143.37
29.82,393.35,38.56,53.14,2.02,73.52,142.99
52.68,260.68,64.56,44.54,2.49,89.03,138.03
270.07,289.89,67.69,20.81,0.82,36.81,196.03
183.9,390.88,36.13,49.85,4.35,81.28,239.61
7.71,157.11,45.01,41.32,1.49,6.6,68.77
34.93,322.72,158.77,79.97,3.94,73.96,180.47
200.73,179.47,37.6,76.83,3.39,53.73,188.39
6.49,349.12,10.55,15.13,3.03,102.86,136.4
52.44,80.46,127.72,10.67,1.04,97.56,87.55
166.88,379.6,195.32,91.0,1.18,60.22,207.82
209.11,95.32,69.59,54.48,0.33,6.05,124.48
197.33,137.23,28.14,86.06,1.28,41.58,144.63
71.16,304.91,116.23,7.7,1.79,96.84,149.07
215.09,163.56,181.74,53.6,4.18,15.49,216.43
74.99,247.2,157.89,54.86,1.9,20.61,140.13
100.99,183.38,126.39,86.35,3.8,98.82,176.46
225.21,299.52,66.44,11.57,2.25,114.59,212.1
196.64,99.05,110.67,25.56,3.95,51.62,184.55
255.52,32.8,22.79,41.84,4.88,76.0,201.03
199.0,126.97,137.39,86.85,1.28,142.13,174.73
172.65,194.98,146.39,94.01,4.33,142.1,225.61
32.63,75.53,193.18,99.29,3.15,49.59,121.71
113.48,148.37,55.78,96.0,4.1,122.45,172.97
83.23,165.99,8.6,2.58,3.29,91.12,131.1
76.98,32.38,111.39,6.68,2.18,146.45,109.27
292.04,237.49,142.82,16.47,1.22,74.25,216.78
120.96,354.89,159.13,36.19,0.44,117.33,171.1
268.15,69.18,42.78,83.33,2.72,116.38,194.17
191.19,243.15,56.04,89.48,4.95,77.13,228.32
239.47,269.25,104.96,20.31,3.72,120.37,241.21
153.28,173.54,69.47,62.73,1.7,42.85,144.7
175.19,283.43,172.8,91.9,4.15,22.73,227.58
150.29,170.19,97.38,47.45,3.87,66.65,181.52
62.6,206.81,160.92,12.15,1.48,141.83,135.23
218.12,12.87,118.22,46.87,0.17,77.61,126.44
87.83,279.77,155.75,38.83,0.68,97.11,143.08
12.17,267.92,69.87,58.61,4.4,95.5,155.1
195.41,24.98,167.13,44.99,4.2,24.22,179.35
57.25,153.62,58.54,3.7,1.55,61.59,95.21
282.44,391.82,111.49,99.41,1.5,107.51,256.59
286.41,174.09,46.73,55.27,3.99,145.94,243.58
274.88,205.76,97.73,48.42,4.69,29.36,245.43
114.2,364.87,67.04,95.55,3.92,64.51,206.71
9.56,289.73,57.01,17.27,3.07,18.79,120.88
278.85,237.01,193.56,20.55,1.29,40.14,215.39
131.31,321.14,36.21,81.19,2.68,59.63,179.39
290.16,347.1,158.53,27.56,1.24,83.39,243.19
289.27,188.19,196.91,80.32,4.06,38.43,257.57
256.64,195.29,8.88,28.61,2.0,38.0,181.55
91.86,160.56,141.31,5.25,4.19,117.79,171.02
118.6,387.02,54.32,52.67,1.97,144.58,189.49
256.09,281.89,12.9,21.28,4.14,51.92,232.74
98.49,42.46,83.56,76.27,1.73,104.76,109.76
55.0,346.55,187.37,64.84,2.26,42.42,166.11
169.26,197.42,7.29,92.51,3.12,139.55,185.2
281.17,36.81,119.64,78.73,0.44,102.57,167.7
210.33,224.39,102.77,19.72,4.75,121.39,235.8
173.17,172.69,175.31,80.42,2.91,12.16,183.63
33.67,352.32,21.38,64.89,2.59,91.78,146.22
186.43,89.56,137.9,67.56,4.21,81.5,195.34
297.07,332.32,137.62,83.56,4.34,47.48,286.55
46.32,227.5,135.47,58.23,2.66,43.05,136.52
157.91,31.3,188.76,47.67,4.64,89.1,185.52
263.83,389.02,165.5,64.39,0.42,107.44,236.97
223.53,209.92,13.18,31.2,0.65,9.81,147.79
210.62,123.44,96.86,19.89,3.02,87.27,183.91
212.23,193.07,82.6,62.43,1.83,29.72,174.12
111.05,344.56,65.48,24.92,2.37,25.35,165.07
91.61,128.91,93.01,9.83,1.71,95.35,117.28
243.76,85.14,79.92,2.05,2.08,50.08,165.49
243.98,60.34,89.31,61.62,4.13,68.93,201.52
260.79,126.17,195.96,37.49,3.01,57.2,216.39
274.41,314.22,22.28,75.73,4.99,99.01,273.18
155.85,193.93,184.84,38.77,3.96,73.17,203.04
152.95,98.72,98.65,49.63,1.44,144.7,144.0
240.5,74.81,126.63,41.89,1.4,56.1,163.69
196.74,139.76,166.89,65.76,1.75,112.34,181.3
212.08,376.57,75.29,36.9,4.23,42.31,244.96
239.76,143.78,88.93,96.45,0.23,78.77,162.97
267.55,395.37,84.86,93.74,1.23,85.12,239.38
104.71,199.24,78.07,85.11,4.53,52.72,177.87
115.8,79.87,185.48,92.19,3.24,73.41,158.88
32.72,357.54,166.64,46.02,1.21,45.5,139.19
175.59,189.54,26.25,54.57,1.17,5.87,136.03
15.6,286.77,26.08,74.73,4.33,36.27,145.32
142.35,393.65,88.43,70.22,4.48,106.51,239.13
165.08,29.57,24.24,89.29,1.36,116.79,122.35
89.53,47.71,125.72,72.2,2.16,45.63,110.68
179.3,290.98,33.02,99.79,4.19,64.17,217.31
14.0,119.91,106.86,36.15,3.88,10.42,108.96
16.02,81.88,6.41,83.63,4.09,39.37,99.34
247.67,25.35,66.74,70.37,2.64,117.99,178.48
111.26,18.52,137.05,69.76,4.57,92.87,158.17
42.48,312.05,99.39,33.93,1.7,34.84,128.39
159.06,62.43,195.76,78.99,0.87,42.33,132.74
232.15,192.41,175.45,90.24,3.57,123.44,238.79
68.67,246.3,75.02,23.42,2.74,35.32,136.76
188.75,177.06,13.87,63.3,4.29,53.45,191.65
30.18,20.57,169.9,40.43,0.5,101.33,68.38
20.25,315.57,182.69,98.98,4.23,86.36,184.98
161.75,14.1,165.02,48.93,1.54,71.83,131.0
164.49,307.14,29.95,24.38,3.31,135.46,204.1
193.04,358.39,199.59,39.42,0.3,36.86,192.75
219.2,178.81,55.42,66.08,3.09,112.51,201.54
292.88,218.86,146.22,9.46,3.61,28.06,242.23
157.31,196.02,182.07,61.15,1.91,94.28,178.3
100.27,161.79,50.96,93.26,1.16,131.24,126.46
239.58,356.1,182.11,85.34,2.73,71.4,254.63
84.9,358.63,65.35,8.63,4.18,110.02,195.59
134.5,140.97,195.4,99.35,1.69,123.96,165.11
28.14,249.88,59.85,70.48,1.34,24.72,101.02
12.48,371.49,190.92,17.9,1.47,107.34,147.82
288.98,385.2,15.44,3.22,4.75,138.38,287.29
251.61,208.49,143.31,18.79,1.86,88.57,206.91
210.31,186.6,108.76,84.14,0.12,31.99,152.74
125.64,118.69,98.19,4.12,3.93,23.41,151.6
56.12,383.96,48.58,24.85,3.53,42.66,168.31
51.15,65.7,142.59,76.22,0.73,20.01,76.56
78.82,236.13,42.21,59.44,4.93,79.44,176.84
167.02,120.19,112.8,78.71,3.08,15.11,164.1
215.81,118.81,54.38,75.12,2.55,37.39,169.67
199.76,167.94,191.35,6.96,1.97,68.79,182.8
87.58,399.53,10.58,89.47,4.5,73.72,204.08
286.69,31.44,43.95,24.25,1.3,86.98,162.46
222.68,235.63,52.25,56.23,1.5,107.31,188.26
168.53,42.2,85.74,65.14,0.7,11.85,107.5
185.46,70.26,50.38,18.53,3.82,16.69,157.44
128.78,181.43,100.81,97.67,3.02,13.82,160.03
78.08,209.08,175.13,49.84,3.08,66.36,160.52
110.01,110.93,143.85,7.65,1.17,11.07,107.75
228.56,133.42,118.09,93.85,3.29,113.18,211.55
9.25,43.92,22.36,59.45,3.85,37.34,85.14
39.24,128.26,140.33,70.52,1.85,141.19,118.43
18.57,386.96,37.45,53.47,4.03,75.53,167.51
17.01,378.44,158.34,83.8,1.81,69.72,152.22
257.36,140.6,53.76,5.25,3.81,118.18,214.6
212.58,232.63,86.32,28.3,0.27,108.41,167.58
144.88,364.74,73.34,48.03,2.8,93.06,202.67
33.86,12.41,172.47,9.51,4.85,140.6,136.7
150.03,326.17,29.68,71.18,4.91,66.23,220.37
144.67,379.86,115.3,40.58,1.48,122.24,195.74
56.09,45.62,32.7,28.72,2.26,60.11,82.3
132.99,72.96,142.44,2.33,0.41,126.56,114.5
122.56,384.69,181.49,72.54,4.38,42.62,232.52
186.68,219.64,89.75,83.71,2.89,46.94,190.76
192.35,15.54,100.18,40.71,1.99,103.29,144.45
18.36,110.48,185.85,57.29,0.65,35.84,78.21
115.51,185.48,106.59,24.31,4.74,38.23,178.54
189.63,280.23,100.08,62.98,2.7,49.26,201.07
153.43,295.93,117.77,3.19,1.49,103.44,176.35
257.66,398.21,139.4,49.89,1.82,133.96,255.94
199.31,122.13,25.84,65.13,1.43,102.81,151.36
53.07,219.91,165.12,91.98,3.05,125.03,163.66
25.82,218.0,89.92,39.37,4.66,83.82,153.78
194.51,168.2,19.11,76.99,4.3,14.99,188.73
12.82,75.97,158.31,60.57,2.36,19.57,88.4
177.8,391.21,78.51,92.85,4.15,85.39,245.48
282.37,342.79,24.57,41.04,2.17,52.53,229.77
174.76,204.35,128.59,33.27,1.34,36.98,158.98
119.51,245.27,176.63,88.94,4.92,72.61,216.92
194.77,98.63,178.11,6.83,1.59,101.64,164.12
140.18,222.08,191.74,15.37,1.69,60.82,165.2
165.96,281.04,174.2,10.08,4.95,121.37,242.18
282.73,210.92,5.42,84.62,0.76,112.09,192.71
118.9,396.21,79.15,3.04,3.83,111.56,213.11
288.55,248.42,164.62,86.44,4.69,147.85,290.9
272.08,154.68,76.42,46.22,2.61,47.81,202.14
62.76,311.14,122.3,2.39,0.11,98.49,122.37
25.46,76.48,123.23,41.36,1.94,129.04,96.53
34.73,159.96,76.18,20.31,0.65,89.03,82.4
10.38,145.31,181.37,63.19,2.14,119.48,116.75
32.86,178.4,103.13,68.58,3.97,65.1,140.48
206.49,314.89,95.63,49.78,2.25,90.62,212.23
26.0,198.83,199.52,5.97,2.22,13.07,115.9
99.1,319.67,101.23,66.3,2.83,147.94,190.0
254.24,234.83,39.79,84.52,2.95,121.0,225.49
11.87,143.41,105.05,72.59,4.3,130.98,140.53
245.27,325.89,163.73,83.34,1.61,105.67,236.19
88.15,102.93,156.49,21.65,4.13,31.98,148.17
39.86,97.51,158.77,89.11,2.87,9.5,112.69
210.54,206.76,143.06,33.57,1.57,130.38,193.53
190.54,111.73,54.57,3.31,1.55,62.47,139.64
263.85,13.54,173.11,84.65,1.87,43.26,177.21
221.85,262.84,179.22,94.3,3.15,86.44,237.85
242.03,209.33,42.86,66.24,1.23,66.03,180.1
88.2,183.75,30.44,24.68,4.61,99.49,163.13
57.34,387.12,195.24,26.67,2.92,75.15,187.34
226.43,232.77,174.32,47.73,4.61,106.1,253.08
